step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,ee_x,ee_y,ee_z,block_x,block_y,block_z
0,0.012340876907191656,-1.018266857288049,0.02258762591736052,2.013132525845164,-0.017054350576158533,0.7857309359341091,0.010354964064408057,0.0,-0.11491844479470578,-0.025060229981479554,0.2697336666392561,0.75,-0.15,0.2849045486152053
1,0.014979525772325974,-1.0393102116818018,0.030882419958742524,2.0073926766061376,-0.014197597619040908,0.7637559563360827,0.006060943907959082,0.0,-0.11564385287955298,-0.02702531114492865,0.26057504714883367,0.75,-0.15,0.28490462996410054
2,0.01056643846562244,-1.0955787369182581,0.04948966064616722,2.000375400294247,-0.027773027112915724,0.7530808768852923,0.014496069368189257,0.0,-0.11715014420769035,-0.04019628616591631,0.23580899612542935,0.75,-0.15,0.2849046537789269
3,0.0047338924408524274,-1.1566474963418634,0.07969454296450218,2.003640109330736,-0.03703013902887094,0.7121180604748059,0.024562144012256537,0.0,-0.11422164994986489,-0.061827279390809564,0.20281306245352151,0.75,-0.15,0.2849046598325226
4,0.012402724554117728,-1.180616166359362,0.07269308986854184,1.981384332655309,-0.014047093253054449,0.7145913507196155,0.006394790180706211,0.0,-0.11381752177783452,-0.05161401108651687,0.2010420708719536,0.75,-0.15,0.2849046613712183
5,0.15443336076972414,-1.1176532673991961,-0.040855151365494446,1.8332484384554457,0.12204570787295288,0.8045776703812919,-0.1119661177899045,0.0,-0.14350096672852553,0.02321801070902594,0.2772458656239215,0.75,-0.15,0.28490466176232226
6,0.2919430444372618,-1.023929705452334,-0.15143045641243003,1.687836400867461,0.2561361577502889,0.9319029892302302,-0.25554108096345884,0.0,-0.17492269114670966,0.07013564202811298,0.3922919680296555,0.75,-0.15,0.2849046618617326
7,0.3798415276808307,-0.9320635884569146,-0.22693808010545613,1.5428033385066011,0.3952180141756507,1.0492624536749033,-0.4098856340368151,0.0,-0.18100129744278187,0.08449103418875052,0.5187765465395476,0.75,-0.15,0.28490466188700053
8,0.42811094708614617,-0.824106022206712,-0.2652447990245559,1.4063994218284637,0.5341237033110822,1.1784742311705496,-0.5467459242428454,0.0001308657524585724,-0.14469674970104474,0.08259277524412706,0.6279948387356286,0.75,-0.15,0.2849046618934232
9,0.4643554168534084,-0.7262219932519622,-0.28552705285084823,1.2805985729179266,0.6704155046543383,1.2615975203024692,-0.6820702221805413,0.0018005661555826665,-0.0867360784463716,0.07418770140875412,0.7069823798208706,0.75,-0.15,0.2849046618950556
10,0.49813730107186005,-0.37874663840906364,-0.31872642421024944,0.9073599663948029,1.0071288890514767,1.3933057242607136,-1.0913798143189544,0.0,-0.0060968733743818285,0.057043223351709624,0.7605783466303015,0.75,-0.15,0.2849046618954708
11,0.5011313898364415,-0.24672720954423788,-0.3225131079151691,0.7953641585244045,1.0578179876984595,1.40426629321372,-1.2326567238972261,0.0,0.06183465244472216,0.05799006026601515,0.7859379533870359,0.75,-0.15,0.28490466189557623
12,0.49874565367034407,-0.09877790408989395,-0.3248553261356435,0.6742185036971169,1.0879191181681747,1.4183338277098512,-1.3744007723103782,0.0,0.12812180409184357,0.057913114616814795,0.7961981459242251,0.75,-0.15,0.28490466189560304
13,0.5057313085765676,0.07733036002091598,-0.3360657800789828,0.5471680607944385,1.0996899745866298,1.415646884490897,-1.5201949791166864,0.0,0.1890612906001761,0.04044655975995233,0.8205112112869929,0.75,-0.15,0.2849046618956097
14,0.5075443097622765,0.2614310542426368,-0.35115752966492364,0.43265408277870454,1.1085852971612713,1.4197974077092048,-1.6165938389066625,0.0,0.2645365370729498,0.01371833424224738,0.8347985069803746,0.75,-0.15,0.2849046618956112
15,0.503149353387782,0.4560294285674744,-0.35758265605170525,0.32817164805100396,1.1127703476253772,1.419271987059554,-1.679077093309394,0.0,0.348180862613472,-0.01755450553183644,0.8325705172288966,0.75,-0.15,0.2849046618956112
16,0.49874731030374386,0.6870400144408919,-0.37175017852981673,0.24501748041671598,1.1149929240659877,1.4165801880911875,-1.7219295025004286,0.0,0.4408263267153566,-0.05399496130683278,0.8080640829793576,0.75,-0.15,0.2849046618956112
17,0.49062768983535376,0.9289653172895596,-0.395265869573419,0.17255182810784772,1.1137593028097397,1.4026584688935866,-1.7467932436772609,0.0,0.5386750169439875,-0.09699559102673619,0.7563740576890957,0.75,-0.15,0.2849046618956112
18,0.4769285280764195,1.0499797488506706,-0.4120347536421216,0.12765962954502572,1.1085083727075449,1.3902310351695653,-1.751190240758968,0.0004820162289440632,0.6281351996773988,-0.1452038481969204,0.6691988778377673,0.75,-0.15,0.2849046618956112
