step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,ee_x,ee_y,ee_z,block_x,block_y,block_z
0,0.0009210586360117179,-1.0452994669175162,0.04410874457787117,2.0054216491616557,-0.021994688548717098,0.764005027717706,0.0078925002691419,0.0,-0.11763962240147632,-0.03224233074317489,0.2540840438193251,0.6,-0.15,0.2849045486152053
1,0.0011794934463813522,-1.0657156351326196,0.04304620584813956,1.9990380764316673,-0.023467122929284753,0.7540517411354493,0.005847076981151167,0.0,-0.11632889898491194,-0.030444691845878988,0.25011331883072113,0.6,-0.15,0.28490462996410054
2,0.0012688596147819586,-1.1074049939841344,0.06227542456534629,1.9948557663899018,-0.03263238859112515,0.73190323990401,0.007801820692175276,0.0,-0.11844997073141822,-0.04436244825646715,0.2274212620714911,0.6,-0.15,0.2849046537789269
3,0.0020318313305811575,-1.1443026224729878,0.07131625282744403,1.9805150498781674,-0.029873978016739716,0.7110406553698951,0.004087593774302567,0.0,-0.11848132112962953,-0.04854651973546704,0.21182326190502024,0.6,-0.15,0.2849046598325226
4,0.015607297795663277,-1.1767088337434142,0.07389105519247963,1.954952257883553,-0.0012811071121453521,0.706661626296887,0.0015243986565098844,0.0,-0.1200105449707444,-0.04395224805507889,0.20289283183171108,0.6,-0.15,0.2849046613712183
5,0.1814527293973872,-1.0817313654022387,-0.08333667506839859,1.7834781028327824,0.16339369515869068,0.8526804378541999,-0.17246169297488323,0.0,-0.14744089222063692,0.03478937717013257,0.2873463283488736,0.6,-0.15,0.28490466176232226
6,0.3075824920481236,-0.9914681610773649,-0.17882905531999316,1.6334021315742009,0.3007351036594396,0.9715301889199948,-0.3205227288051602,0.0,-0.17539493802640882,0.08157466072278016,0.4174692986708768,0.6,-0.15,0.2849046618617326
7,0.37827462859018146,-0.8824640419614515,-0.2431154486426974,1.4931055915584635,0.44531795897971216,1.107057296974914,-0.4713346279815034,0.0,-0.17114396075823157,0.09164244715611006,0.5476384048259043,0.6,-0.15,0.28490466188700053
8,0.426807452706066,-0.7747950815354696,-0.27180399434545155,1.3508920202748465,0.591270146758041,1.2257018212199564,-0.6059733754853167,0.002865399806678295,-0.1269086646966519,0.08255833208195204,0.6544086938181211,0.6,-0.15,0.2849046618934232
9,0.4616444283298159,-0.68172276110639,-0.28820758299557125,1.2149276436074874,0.7229344533920541,1.2977871350405898,-0.7361611245084041,0.0,-0.06256590063243958,0.07052000280918112,0.7270211746099459,0.6,-0.15,0.2849046618950556
