step,gripper_norm,block_x,block_z,ee_z
0,0.01467639152276516,0.6,0.28494800139109144,0.2866423656147862
1,0.011508558340072632,0.6,0.2849522155603667,0.27494488372006626
2,0.007867975606262683,0.6,0.2849523280443404,0.2535868116236626
3,0.008661721685439348,0.6,0.2849523308749395,0.2253305736618
4,0.010481208549767734,0.6,0.28495233094597755,0.25117669777354523
5,0.010567737271338702,0.6,0.28495233094776007,0.3331718153746877
6,0.008759751814216376,0.6,0.28495233094780487,0.4492732490409113
7,0.0001703459714949131,0.6,0.28495233094780575,0.5722336039058776
8,0.0,0.6,0.28495233094780575,0.6633403166893704
9,0.0,0.6,0.28495233094780575,0.7270074369345506
10,0.004547018766492605,0.6,0.28495233094780575,0.7755607480994332
11,0.002111253132104874,0.6,0.28495233094780575,0.8007484629914805
12,0.007871134023785592,0.6,0.28495233094780575,0.8292487659144007
13,0.004085562047839165,0.6,0.28495233094780575,0.8472742315889104
14,0.0040195332437753676,0.6,0.28495233094780575,0.8462897380308524
15,0.004946439397573471,0.6,0.28495233094780575,0.8203923904889535
16,0.004210170558035374,0.6,0.28495233094780575,0.7621564009962859
17,0.004236659550279379,0.6,0.28495233094780575,0.6671314160194819
18,0.0007776858240365983,0.6,0.28495233094780575,0.5307632681692425
19,0.00021632180392742157,0.6,0.28495233094780575,0.40868364031462345
20,0.0,0.6,0.28495233094780575,0.4221049490699343
21,0.0001315212730765343,0.6,0.28495233094780575,0.42151916745914875
22,0.00023187552040815354,0.6,0.28495233094780575,0.421839547774148
23,0.0,0.6,0.28495233094780575,0.42098494414572946
24,0.0016910644159913064,0.6,0.28495233094780575,0.4212594560889249
25,0.0,0.6,0.28495233094780575,0.42122580469765014
26,0.0021199536784887313,0.6,0.28495233094780575,0.42090995852147006
27,0.00014832643800973894,0.6,0.28495233094780575,0.4208858837709615
28,0.0,0.6,0.28495233094780575,0.4214609291375944
29,0.0,0.6,0.28495233094780575,0.4209802764515864
30,0.0021683430186510088,0.6,0.28495233094780575,0.4215310535416385
31,0.003089677247196436,0.6,0.28495233094780575,0.42246610105348936
32,0.0,0.6,0.28495233094780575,0.4241207175039489
33,0.0012247508854866028,0.6,0.28495233094780575,0.42184711099299743
34,0.003631465037941933,0.6,0.28495233094780575,0.4224546788867369
35,0.0005754279170036317,0.6,0.28495233094780575,0.4214597119056993
36,0.0,0.6,0.28495233094780575,0.421887229181898
37,0.0008897202569246292,0.6,0.28495233094780575,0.42025111394041254
38,0.0019471941992640497,0.6,0.28495233094780575,0.4219209942947319
39,0.0006244131850004197,0.6,0.28495233094780575,0.4219729978498001
40,0.0,0.6,0.28495233094780575,0.4220409523449488
41,0.0,0.6,0.28495233094780575,0.4230090961085198
42,0.0,0.6,0.28495233094780575,0.42518685705503523
43,0.0004746267237961292,0.6,0.28495233094780575,0.4249744389238402
44,0.0,0.6,0.28495233094780575,0.42382771967485744
45,0.0,0.6,0.28495233094780575,0.4221818800753423
46,0.0,0.6,0.28495233094780575,0.41606669157395665
47,0.0008246747337877751,0.6,0.28495233094780575,0.4101949829732049
48,0.002438536698818207,0.6,0.28495233094780575,0.40636761791284126
49,0.00039176295840740203,0.6,0.28495233094780575,0.40424950337489896
50,0.000360923692971468,0.6,0.28495233094780575,0.4044016781597505
51,0.00016694918283820153,0.6,0.28495233094780575,0.4043942177923968
52,0.0017449958850145341,0.6,0.28495233094780575,0.4049596257055698
53,0.0017398709056377411,0.6,0.28495233094780575,0.4054418579510495
54,0.000208842909604311,0.6,0.28495233094780575,0.40487538053372685
55,0.0,0.6,0.28495233094780575,0.40467332722952676
56,0.0,0.6,0.28495233094780575,0.4048166567259377
57,0.0,0.6,0.28495233094780575,0.40458783535726445
58,0.0020790730290412905,0.6,0.28495233094780575,0.40503430903814414
59,0.0,0.6,0.28495233094780575,0.4040466992836066
60,0.003864025875359774,0.6,0.28495233094780575,0.4032797762127954
61,0.0009269061537981034,0.6,0.28495233094780575,0.4037191864098071
62,0.0022718556835055353,0.6,0.28495233094780575,0.4028153301833866
63,0.00032996524196863175,0.6,0.28495233094780575,0.40279232162757816
64,0.00015768250501155853,0.6,0.28495233094780575,0.40240138332730757
65,0.0,0.6,0.28495233094780575,0.40254149172479026
66,0.0,0.6,0.28495233094780575,0.40251450362064967
67,0.0016279556583166123,0.6,0.28495233094780575,0.4037133472064208
68,0.0,0.6,0.28495233094780575,0.4022867433830718
69,0.0005763218087553978,0.6,0.28495233094780575,0.40297321858044455
70,0.0,0.6,0.28495233094780575,0.40205991466197655
71,0.0,0.6,0.28495233094780575,0.4025457318034588
72,0.0,0.6,0.28495233094780575,0.402606229319207
73,0.0,0.6,0.28495233094780575,0.4021896075614381
74,0.0,0.6,0.28495233094780575,0.4028734586717849
75,0.0,0.6,0.28495233094780575,0.4038148542036991
76,0.0,0.6,0.28495233094780575,0.4034016091556537
77,0.0,0.6,0.28495233094780575,0.40431987527197644
78,0.0004548717160820961,0.6,0.28495233094780575,0.40421534199355963
79,0.0009276808599829674,0.6,0.28495233094780575,0.4048250029764777
80,0.0,0.6,0.28495233094780575,0.4020017821986958
81,0.000377639468729496,0.6,0.28495233094780575,0.40126090943977955
82,7.806654632091522e-06,0.6,0.28495233094780575,0.4017651614968005
83,0.0,0.6,0.28495233094780575,0.4005247851910084
84,0.0,0.6,0.28495233094780575,0.4009201449867185
85,0.0,0.6,0.28495233094780575,0.40077626731901755
86,0.0,0.6,0.28495233094780575,0.40205312224765566
87,0.0,0.6,0.28495233094780575,0.4008351331477126
88,4.1119020581245425e-05,0.6,0.28495233094780575,0.4017647829674101
89,0.0001241019715368748,0.6,0.28495233094780575,0.40166582310501164
90,0.00037623903831839566,0.6,0.28495233094780575,0.40142113334916496
91,0.0,0.6,0.28495233094780575,0.40151014558761267
92,0.0,0.6,0.28495233094780575,0.40130402701353735
93,0.0,0.6,0.28495233094780575,0.4017322695870551
94,0.00035916570585966113,0.6,0.28495233094780575,0.40193532105087826
95,0.0,0.6,0.28495233094780575,0.4022445322247303
96,0.0,0.6,0.28495233094780575,0.40224918021343736
97,0.0018386459442079068,0.6,0.28495233094780575,0.4010713852655785
98,0.001739751720070839,0.6,0.28495233094780575,0.4030709769461999
99,0.0021418540264070036,0.6,0.28495233094780575,0.40250903980220665
100,0.0,0.6,0.28495233094780575,0.40193289269851784
101,0.0008628737079799175,0.6,0.28495233094780575,0.41925756976696255
102,0.0,0.6,0.28495233094780575,0.4242864835060355
103,0.0,0.6,0.28495233094780575,0.42399893699891683
104,0.0,0.6,0.28495233094780575,0.42257545579365396
105,0.0,0.6,0.28495233094780575,0.4210986481377275
106,0.0,0.6,0.28495233094780575,0.42195937352096297
107,0.0,0.6,0.28495233094780575,0.4148913603410254
108,0.0,0.6,0.28495233094780575,0.41119575249037976
109,0.0004162853887975216,0.6,0.28495233094780575,0.4104369306338479
110,0.0005425922933220864,0.6,0.28495233094780575,0.41927041894494294
111,0.002018377779096365,0.6,0.28495233094780575,0.42051592363550466
112,0.002279960302054882,0.6,0.28495233094780575,0.42124107081882967
113,0.001229011769503355,0.6,0.28495233094780575,0.42055951002407443
114,0.0,0.6,0.28495233094780575,0.4212534829333991
115,0.0006182453319132328,0.6,0.28495233094780575,0.42067890383752443
116,0.0001287204122543335,0.6,0.28495233094780575,0.4212042329371799
117,0.0019055388436317446,0.6,0.28495233094780575,0.4205264187264441
118,0.0014514418337345123,0.6,0.28495233094780575,0.4199943300492871
119,0.0021883363974988463,0.6,0.28495233094780575,0.4212289893237607
120,0.003239553097575903,0.6,0.28495233094780575,0.42022360614384524
121,0.0,0.6,0.28495233094780575,0.42325252667794894
122,0.00118929317933321,0.6,0.28495233094780575,0.42189317230677875
123,0.0,0.6,0.28495233094780575,0.4237636512243162
124,0.0016792650448679924,0.6,0.28495233094780575,0.4219247186008249
125,0.0003759112780094147,0.6,0.28495233094780575,0.4195905566950818
126,0.001629207106769085,0.6,0.28495233094780575,0.4203122547659426
127,0.0,0.6,0.28495233094780575,0.418360036419649
128,0.0,0.6,0.28495233094780575,0.41777990303330614
129,0.0,0.6,0.28495233094780575,0.4095387609576967
130,0.0,0.6,0.28495233094780575,0.41783483056753384
131,0.0,0.6,0.28495233094780575,0.4142598040181542
132,0.0,0.6,0.28495233094780575,0.4084301652070988
133,0.0005826982365846634,0.6,0.28495233094780575,0.4047188280382489
