step,gripper_norm,block_x,block_z,ee_z
0,0.0,0.75,0.28493106676229407,0.6562403872437117
1,0.0,0.75,0.28494245592683504,0.7221515817806072
2,0.0,0.75,0.2849428523757427,0.7398041962297519
3,0.0,0.75,0.2849428661037428,0.7435806627372082
4,0.0,0.75,0.2849428665791539,0.741895773912502
5,0.0,0.75,0.28494286659561774,0.7322650883560156
6,0.0,0.75,0.2849428665961879,0.7118392219749947
7,0.0,0.75,0.28494286659620766,0.6858514795929194
8,0.0,0.75,0.2849428665962081,0.659940586412574
9,0.0,0.75,0.2849428665962081,0.6449170302124463
10,0.0,0.75,0.2849428665962081,0.5791952510052913
11,0.0,0.75,0.2849428665962081,0.50401065633378
12,0.0,0.75,0.2849428665962081,0.4728774105149247
13,0.0,0.75,0.2849428665962081,0.45704203094335577
14,0.0,0.75,0.2849428665962081,0.4505059722199478
15,0.0,0.75,0.2849428665962081,0.4480922078240279
16,0.0,0.75,0.2849428665962081,0.4464685343291276
17,0.0,0.75,0.2849428665962081,0.44434149687666785
18,0.0,0.75,0.2849428665962081,0.4446174055117841
19,0.0,0.75,0.2849428665962081,0.445250814337092
20,0.0,0.75,0.2849428665962081,0.5142123846096345
21,0.0,0.75,0.2849428665962081,0.5890574446811416
22,0.0,0.75,0.2849428665962081,0.5999518305294463
23,0.0,0.75,0.2849428665962081,0.5910931303868278
24,0.0,0.75,0.2849428665962081,0.5788296331531302
25,0.0,0.75,0.2849428665962081,0.5655003444017334
26,0.0,0.75,0.2849428665962081,0.5480563067113406
27,0.0,0.75,0.2849428665962081,0.5351556624441086
28,0.0,0.75,0.2849428665962081,0.5214736963786661
29,0.0,0.75,0.2849428665962081,0.5056740676637406
30,0.0,0.75,0.2849428665962081,0.5475713920680654
31,0.0,0.75,0.2849428665962081,0.5699960631924708
32,0.0,0.75,0.2849428665962081,0.5725772539159593
33,0.0,0.75,0.2849428665962081,0.5645329950240647
34,0.0,0.75,0.2849428665962081,0.5526501962923482
35,0.0,0.75,0.2849428665962081,0.5406167406443251
36,0.0,0.75,0.2849428665962081,0.525156255161188
37,0.0,0.75,0.2849428665962081,0.5077484405268022
38,0.0,0.75,0.2849428665962081,0.4937609494841529
39,0.0,0.75,0.2849428665962081,0.48081785481404005
40,0.0,0.75,0.2849428665962081,0.5306369923692926
41,0.0,0.75,0.2849428665962081,0.5625666419402469
42,0.0,0.75,0.2849428665962081,0.5649158053409248
43,0.0,0.75,0.2849428665962081,0.5528667169241523
44,0.0,0.75,0.2849428665962081,0.5382808273007567
45,0.0,0.75,0.2849428665962081,0.5234362668424313
46,0.0,0.75,0.2849428665962081,0.5087821552981762
47,0.0,0.75,0.2849428665962081,0.4931528838750752
48,0.0,0.75,0.2849428665962081,0.47821186120504233
49,0.0,0.75,0.2849428665962081,0.4662948894996859
50,0.0,0.75,0.2849428665962081,0.5190970325590266
51,0.0,0.75,0.2849428665962081,0.577087519762725
52,0.0,0.75,0.2849428665962081,0.5896056225362507
53,0.0,0.75,0.2849428665962081,0.5873045875479735
54,0.0,0.75,0.2849428665962081,0.5737976604690208
55,0.0,0.75,0.2849428665962081,0.5603844078661381
56,0.0,0.75,0.2849428665962081,0.5440904641887075
57,0.0,0.75,0.2849428665962081,0.5282646427803622
58,0.0,0.75,0.2849428665962081,0.5120793884639449
59,0.0,0.75,0.2849428665962081,0.4982183683630016
60,0.0,0.75,0.2849428665962081,0.5384115112524895
61,0.0,0.75,0.2849428665962081,0.5546129816579779
62,0.0,0.75,0.2849428665962081,0.5521652216301052
63,0.0,0.75,0.2849428665962081,0.5389180495616495
64,0.0,0.75,0.2849428665962081,0.5231090949879551
65,0.0,0.75,0.2849428665962081,0.5087534239970831
66,0.0,0.75,0.2849428665962081,0.49253291867442506
67,0.0,0.75,0.2849428665962081,0.47803339615525264
68,0.0,0.75,0.2849428665962081,0.46484348471238796
69,0.0,0.75,0.2849428665962081,0.455254118234145
70,0.0,0.75,0.2849428665962081,0.5119826485171869
71,0.0,0.75,0.2849428665962081,0.5759428514634621
72,0.0,0.75,0.2849428665962081,0.5880811461742561
73,0.0,0.75,0.2849428665962081,0.5850374740498185
74,0.0,0.75,0.2849428665962081,0.5764446195698207
75,0.0,0.75,0.2849428665962081,0.563495406445769
76,0.0,0.75,0.2849428665962081,0.5455120527773514
77,0.0,0.75,0.2849428665962081,0.5261674310091555
78,0.0,0.75,0.2849428665962081,0.5080509557997834
79,0.0,0.75,0.2849428665962081,0.4899531220551086
80,0.0,0.75,0.2849428665962081,0.5304539718841964
81,0.0,0.75,0.2849428665962081,0.5484671170439778
82,0.0,0.75,0.2849428665962081,0.5444409084300215
83,0.0,0.75,0.2849428665962081,0.5327412672101778
84,0.0,0.75,0.2849428665962081,0.5189647199092016
85,0.0,0.75,0.2849428665962081,0.5048514596624287
86,0.0,0.75,0.2849428665962081,0.49262745241563505
87,0.0,0.75,0.2849428665962081,0.4782752414848602
88,0.0,0.75,0.2849428665962081,0.46835487823738087
89,0.0,0.75,0.2849428665962081,0.4594232943935268
90,0.0,0.75,0.2849428665962081,0.519603040746069
91,0.0,0.75,0.2849428665962081,0.5707353498443329
92,0.0,0.75,0.2849428665962081,0.5801401158828268
93,0.0,0.75,0.2849428665962081,0.5708527165047632
94,0.0,0.75,0.2849428665962081,0.5599299613901255
95,0.0,0.75,0.2849428665962081,0.5460145140124693
96,0.0,0.75,0.2849428665962081,0.5268883936711336
97,0.0,0.75,0.2849428665962081,0.5138471839861851
98,0.0,0.75,0.2849428665962081,0.4959764399141262
99,0.0,0.75,0.2849428665962081,0.4789485346619348
100,0.0,0.75,0.2849428665962081,0.5270845843468372
101,0.0,0.75,0.2849428665962081,0.5728364856773153
102,0.0,0.75,0.2849428665962081,0.5816719416306319
103,0.0,0.75,0.2849428665962081,0.579384919089336
104,0.0,0.75,0.2849428665962081,0.5674685452699153
105,0.0,0.75,0.2849428665962081,0.5529176441040007
106,0.0,0.75,0.2849428665962081,0.5383441432108345
107,0.0,0.75,0.2849428665962081,0.5242641178474889
108,0.0,0.75,0.2849428665962081,0.5071050244478352
109,0.0,0.75,0.2849428665962081,0.4932069666370943
110,0.0,0.75,0.2849428665962081,0.540224428331649
111,0.0,0.75,0.2849428665962081,0.5714359412644914
112,0.0,0.75,0.2849428665962081,0.5709102004793876
113,0.0,0.75,0.2849428665962081,0.5612990796398977
114,0.0,0.75,0.2849428665962081,0.5476959307740121
115,0.0,0.75,0.2849428665962081,0.5353017495370059
116,0.0,0.75,0.2849428665962081,0.5215905051000294
117,0.0,0.75,0.2849428665962081,0.5084810365128778
118,0.0,0.75,0.2849428665962081,0.49494132972014476
119,0.0,0.75,0.2849428665962081,0.4861420652448051
120,0.0,0.75,0.2849428665962081,0.5404299239542687
121,0.0,0.75,0.2849428665962081,0.5885014143596632
122,0.0,0.75,0.2849428665962081,0.5950789037880897
123,0.0,0.75,0.2849428665962081,0.59010003414866
124,0.0,0.75,0.2849428665962081,0.5784582844633214
125,0.0,0.75,0.2849428665962081,0.5628488234550493
126,0.0,0.75,0.2849428665962081,0.5485342439149876
127,0.0,0.75,0.2849428665962081,0.5320616822719814
128,0.0,0.75,0.2849428665962081,0.5138668049735068
129,0.0,0.75,0.2849428665962081,0.5017702784797496
130,0.0,0.75,0.2849428665962081,0.5488419256910537
131,0.0,0.75,0.2849428665962081,0.570748495006546
132,0.0,0.75,0.2849428665962081,0.5708702223575408
133,0.0,0.75,0.2849428665962081,0.5589118318006827
134,0.0,0.75,0.2849428665962081,0.5419959814776637
135,0.0,0.75,0.2849428665962081,0.5236676248639898
136,0.0,0.75,0.2849428665962081,0.5072507280809725
137,0.0,0.75,0.2849428665962081,0.4919577136023394
138,0.0,0.75,0.2849428665962081,0.47840432144563866
139,0.0,0.75,0.2849428665962081,0.46755948683517495
140,0.0,0.75,0.2849428665962081,0.5225814660009064
141,0.0,0.75,0.2849428665962081,0.5716797955216592
142,0.0,0.75,0.2849428665962081,0.5808351793912797
143,0.0,0.75,0.2849428665962081,0.5769355116157338
144,0.0,0.75,0.2849428665962081,0.5647421881817414
145,0.0,0.75,0.2849428665962081,0.547041001462554
146,0.0,0.75,0.2849428665962081,0.5320438723117548
147,0.0,0.75,0.2849428665962081,0.5145297615265283
148,0.0,0.75,0.2849428665962081,0.49619362029238046
149,0.0,0.75,0.2849428665962081,0.48036789473560637
150,0.0,0.75,0.2849428665962081,0.5296735183384114
151,0.0,0.75,0.2849428665962081,0.5652705452557147
152,0.0,0.75,0.2849428665962081,0.5669020679532741
153,0.0,0.75,0.2849428665962081,0.5573004923368272
154,0.0,0.75,0.2849428665962081,0.5420361510308875
155,0.0,0.75,0.2849428665962081,0.5247728953094549
156,0.0,0.75,0.2849428665962081,0.5069952354937988
157,0.0,0.75,0.2849428665962081,0.49186625145931673
158,0.0,0.75,0.2849428665962081,0.47475547918778027
159,0.0,0.75,0.2849428665962081,0.46506616607294643
160,0.0,0.75,0.2849428665962081,0.5221638279816279
161,0.0,0.75,0.2849428665962081,0.5781863136555667
162,0.0,0.75,0.2849428665962081,0.589335543863883
163,0.0,0.75,0.2849428665962081,0.584828795725725
164,0.0,0.75,0.2849428665962081,0.5729424844174426
165,0.0,0.75,0.2849428665962081,0.560653401914104
166,0.0,0.75,0.2849428665962081,0.5451169220670846
167,0.0,0.75,0.2849428665962081,0.5304207600131334
168,0.0,0.75,0.2849428665962081,0.5103417270969013
169,0.0,0.75,0.2849428665962081,0.49224908406758205
170,0.0,0.75,0.2849428665962081,0.5369280602522161
