step,gripper_norm,block_x,block_z,ee_z
0,0.5028312730901242,0.75,0.2849045486152053,0.29068330802484804
1,0.4987844463515282,0.75,0.28490462996410054,0.272769906354967
2,0.4984169972487688,0.75,0.2849046537789269,0.25414119670981766
3,0.49973965907746554,0.75,0.2849046598325226,0.23487891538286754
4,0.5004156200201512,0.75,0.2849046613712183,0.21504236330308243
5,0.4994295382323861,0.75,0.28490466176232226,0.19470879883761896
6,0.5052223739333153,0.75,0.2849046618617326,0.17397430522142876
7,0.49886042715042833,0.75,0.28490466188700053,0.1529540844886838
8,0.5039897568004131,0.75,0.2849046618934232,0.1576135019303592
9,0.4967058500647545,0.75,0.2849046618950556,0.21392084911279724
10,0.4980948386614323,0.75,0.2849046618954708,0.28232040592043794
11,0.49947608019626144,0.75,0.28490466189557623,0.356504201642678
12,0.4949274226282239,0.75,0.28490466189560304,0.4394039756723923
13,0.496883406763047,0.75,0.2849046618956097,0.5439165139694981
14,0.4961996391657293,0.75,0.2849046618956112,0.6710294551239426
15,0.4991575269723237,0.75,0.2849046618956112,0.7458826606302273
16,0.4980142692182064,0.75,0.2849046618956112,0.8138126659238936
17,0.4968564708249271,0.75,0.2849046618956112,0.8635549135923021
18,0.49768388682675363,0.75,0.2849046618956112,0.8861417921037726
19,0.496619053175658,0.75,0.2849046618956112,0.9004522849333613
20,0.496784721113652,0.75,0.2849046618956112,0.9531459395805666
21,0.4946671809428931,0.75,0.2849046618956112,1.0224307128369574
22,0.49758996860003474,0.75,0.2849046618956112,1.087098853310215
23,0.4959378480680287,0.75,0.2849046618956112,1.1195283293679585
24,0.5028827016622425,0.75,0.2849046618956112,1.1198515587765694
25,0.49910368489247564,0.75,0.2849046618956112,1.0935550893478676
26,0.4974602947032452,0.75,0.2849046618956112,1.0431893190294868
27,0.49545058767414096,0.75,0.2849046618956112,0.9800245285238031
28,0.5000836286235452,0.75,0.2849046618956112,0.9148518078198452
29,0.5013795928852558,0.75,0.2849046618956112,0.8682886661083737
30,0.49047530536937717,0.75,0.2849046618956112,0.917816203871497
31,0.5043194240784645,0.75,0.2849046618956112,0.9374046449184795
